# ID	Field	StarID	RA	Decl	I	V	P_1	dP_1
OGLE-SMC-CEP-0045	SMC135.6	2591	00:25:13.77	-73:13:53.2	17.430	17.879	0.7330169	0.0000006
OGLE-SMC-CEP-0046	SMC138.8	3825	00:25:16.87	-74:07:57.5	16.575	17.210	1.9109672	0.0000012
OGLE-SMC-CEP-0047	SMC139.2	142	00:25:16.99	-74:35:09.6	17.119	17.746	0.9761030	0.0000018
OGLE-SMC-CEP-0048	SMC138.7	4089	00:25:17.22	-74:03:57.1	16.882	17.421	1.3905044	0.0000006
OGLE-SMC-CEP-0049	SMC135.8	3202	00:25:20.56	-73:35:39.7	16.677	17.339	1.9378918	0.0000017
OGLE-SMC-CEP-0050	SMC135.6	2480	00:25:22.86	-73:10:52.3	16.793	17.257	1.0045322	0.0000015
OGLE-SMC-CEP-0051	SMC138.1	74	00:25:25.58	-74:10:04.7	16.876	17.349	0.9098114	0.0000013
OGLE-SMC-CEP-0052	SMC138.3	50	00:25:26.54	-73:51:14.3	16.302	16.909	1.7183809	0.0000049
OGLE-SMC-CEP-0053	SMC138.3	114	00:25:27.62	-73:48:31.9	17.289	17.791	1.1450991	0.0000006
OGLE-SMC-CEP-0054	SMC135.8	3208	00:25:27.85	-73:32:18.7	17.024	17.684	1.4279688	0.0000008
OGLE-SMC-CEP-0055	SMC135.8	3141	00:25:31.44	-73:32:47.4	15.495	16.062	2.3661278	0.0000054
OGLE-SMC-CEP-0056	SMC135.8	3210	00:25:31.61	-73:34:58.1	16.784	17.299	0.9860212	0.0000008
OGLE-SMC-CEP-0057	SMC139.4	182	00:25:34.42	-74:13:22.9	17.570	18.163	0.6977260	0.0000011
OGLE-SMC-CEP-0058	SMC138.4	109	00:25:35.13	-73:37:16.9	17.043	17.587	0.8821859	0.0000010
OGLE-SMC-CEP-0059	SMC135.6	2433	00:25:48.51	-73:11:30.1	16.053	16.582	1.7516958	0.0000043
OGLE-SMC-CEP-0060	SMC139.4	45	00:25:57.48	-74:14:41.5	15.841	16.528	3.2138297	0.0000020
OGLE-SMC-CEP-0061	SMC138.2	136	00:26:02.16	-73:55:26.9	16.860	17.469	1.8351111	0.0000022
OGLE-SMC-CEP-0062	SMC138.3	70	00:26:06.13	-73:53:59.2	16.434	17.085	2.3832280	0.0000052
OGLE-SMC-CEP-0063	SMC138.4	130	00:26:06.61	-73:41:24.8	16.890	17.345	0.6806446	0.0000024
OGLE-SMC-CEP-0064	SMC138.2	61	00:26:07.61	-73:57:04.9	15.940	16.600	2.1513929	0.0000066
OGLE-SMC-CEP-0065	SMC138.2	62	00:26:08.22	-73:57:18.3	16.379	16.927	1.7372230	0.0000039
OGLE-SMC-CEP-0066	SMC138.2	139	00:26:08.96	-73:55:43.7	17.255	17.741	0.8380904	0.0000006
OGLE-SMC-CEP-0067	SMC138.4	22	00:26:11.47	-73:37:30.3	15.338	16.001	4.6594512	0.0000111
OGLE-SMC-CEP-0068	SMC138.2	144	00:26:15.75	-73:57:41.6	17.153	17.616	0.8446627	0.0000006
OGLE-SMC-CEP-0069	SMC135.1	84	00:26:18.66	-73:32:26.3	17.019	17.596	1.4714909	0.0000007
OGLE-SMC-CEP-0070	SMC135.2	183	00:26:20.30	-73:22:24.1	17.646	18.185	0.6955728	0.0000010
